geo,Name,TIME_PERIOD,GHGperGDP,PriceAdjOil,GDPperCap,OilCperGDP,GDPgrowth,OilDep,SRE,PosSupplyShock,NegSupplyShock,GHG,GDP,Pop,OilCons
DE,Germany,2006,485.26212978518186,77.06,37243.54378284799,88.9794434416569,3.8164419129879223,95.791,8.6,0,0,1467030000,3023170.1794851203,81173000,269000000
DE,Germany,2007,483.68639966488126,80.23,38437.78994741233,91.868262044611825,2.976455131315988,94.357,10.5,0,1,1505790000,3113153.48342082,80992000,286000000
DE,Germany,2008,466.4343656102214,99.98,38916.2992682881,93.22196772472059,0.9598791335647261,96.227,10.3,1,0,1466020000,3143035.99410402,80764000,293000000
DE,Germany,2009,489.19112496579663,66,36828.60565095126,94.1271199072119,-5.693836336402689,96.503,10.7,0,1,1450000000,2964076.6686055097,80483000,279000000
DE,Germany,2010,453.08059319348354,80.97,38463.10087347018,87.75987474478882,4.179882498736397,96.756,11.6,0,0,1399100000,3087971.59052568,80284000,271000000
DE,Germany,2011,455.1006194957456,104.36,39977.333243452755,93.48181160474063,3.9251927046341684,95.5,12.5,0,0,1460500000,3209180.42611817,80275000,300000000
DE,Germany,2012,449.6168181215394,106.34,40069.26577220774,87.81699692768206,0.4184975942177149,97.151,13.6,0,0,1448940000,3222610.7689955803,80426000,283000000
DE,Germany,2013,460.7205423758169,100.71,40134.81925272053,87.43439163393475,0.43759130314439926,96.475,13.6,0,0,1491220000,3236712.6334549,80646000,283000000
DE,Germany,2014,475.4084141750153,90.31,40850.909509885285,88.56701935023747,2.2095434313488242,95.908,14,0,0,1572760000,3308229.20483904,80983000,293000000
DE,Germany,2015,498.3134132233343,49.66,41103.06069939599,92.92391202457686,1.49193152760772,96.541,14.6,0,0,1673130000,3357585.71935156,81687000,312000000
DE,Germany,2016,447.09918112282327,41.31,41681.86470333641,76.03876211061602,2.2299998678202115,96.374,14.2,0,0,1534650000,3432459.87645505,82349000,261000000
DE,Germany,2017,407.6286647230176,52.43,42639.55544045126,67.52811863829425,2.6802311140587216,95.834,15.2,0,1,1436670000,3524457.7340413798,82657000,238000000
DE,Germany,2018,430.5794901489567,67.89,42928.62835636323,69.96266961211799,0.9812326060047504,95.484,16,1,0,1532450000,3559040.86251265,82906000,249000000
DE,Germany,2019,442.2295423923098,63.35,43292.664093175605,73.38802091446644,1.0754716357644554,97.339,17.1,0,1,1590840000,3597317.33749424,83093000,264000000
DE,Germany,2020,411.4050261401247,40.99,41601.90862304229,76.30815761809917,-3.826768716193103,96.544,18.6,0,0,1423320000,3459656.32300082,83161000,264000000
DK,Denmark,1995,3189.6857297293773,25.66,43338.18230302199,798.5575018064612,0,11.143,7.5,0,0,722970000,226658.693444805,5230000,181000000
DK,Denmark,1996,3410.3378868783334,30.2,44323.83536473337,797.4891211458008,2.9000997687400507,5.684,7.3,1,0,795400000,233232.021689227,5262000,186000000
